# 経済指標カレンダー - 2026年2月
# 形式: 日時,通貨,指標名,重要度(1=低,2=中,3=高)
# 
# 使い方:
# 1. 毎週このファイルを更新
# 2. ForexFactory (https://www.forexfactory.com/calendar) などを参照
# 3. 自分の取引通貨ペアに関係する指標のみ登録
# 
# 注意: 
# - 日時はMT5のサーバー時間に合わせてください
# - GMT+2 (夏時間) または GMT+3 (冬時間) が一般的
#
# サンプルデータ（2026年2月第3週）

2026.02.17 22:30,USD,米国雇用統計（NFP）,3
2026.02.17 22:30,USD,失業率,3
2026.02.18 04:00,USD,FOMC議事録,3
2026.02.19 00:00,USD,小売売上高,2
2026.02.19 16:30,EUR,ECB金融政策決定,3
2026.02.20 22:30,USD,新規失業保険申請件数,2
2026.02.21 00:00,USD,製造業PMI速報値,2

# 以下、手動で追加してください
# YYYY.MM.DD HH:MM,通貨,指標名,重要度
